Team,Agent,Role,Character Types,Task Category,Model,Purpose
Architecture Analysis,adr-writer,Worker,Executor,execute,sonnet,"Produces ADR drafts from the Decider's decisions: context, decision, consequences, status."
Architecture Analysis,architecture-fitness-function-author,Worker,Executor,execute,sonnet,"Defines testable assertions from architecture decisions, such as 'all events publish through the event API' and 'all Lambdas extend the chassis'."
Architecture Analysis,architecture-diagram-author,Worker,Executor,execute,sonnet,Produces architecture diagrams from the decided design in the project's standard diagram format.
Architecture Analysis,graphql-schema-designer,Worker,Executor,execute,sonnet,"Designs GraphQL schema proposals for the AppSync track, parallel to the REST/API Gateway contract track"
Architecture Analysis,failure-mode-analyst,Worker,Advisor,plan,opus,"Proactively models failure modes for each architecture proposal: DynamoDB throttling, duplicate event delivery, downstream unavailability, partial-batch failures, poison messages"
Spec Authoring,spec-authoring-lead,Manager,"Delegator, Orchestrator",orchestrate,sonnet,"Routes maker output to checkers and checker findings back to makers until checkers pass, then routes to Gate 3"
Spec Authoring,acceptance-criteria-writer,Worker,Executor,execute,sonnet,"Writes testable acceptance criteria per requirement (given/when/then), specific enough for test agents to derive tests from."
Spec Authoring,definition-of-done-enforcer,Worker,Executor,execute,sonnet,"Writes the Definition of Done as independently verifiable statements, not checklists."
Spec Authoring,api-specification-author,Worker,Executor,execute,sonnet,"Produces detailed API specifications from contract drafts: schemas, error codes, rate limits, examples."
Spec Authoring,event-contract-author,Worker,Executor,execute,sonnet,"Writes event schemas within the event API envelope format: publishing conditions, consumers, retry and DLQ behavior."
Spec Authoring,data-model-specification-author,Worker,Executor,execute,sonnet,"Writes DynamoDB table specifications: keys, GSI/LSI, access patterns, capacity estimates."
Spec Authoring,error-handling-specification-author,Worker,Executor,execute,sonnet,"Specifies error handling per failure mode, noting which behavior is chassis-handled and which is custom."
Spec Authoring,prd-alignment-verifier,Worker,Validator,test,sonnet,Verifies traceability: PRD requirement to spec section to acceptance criteria
Spec Authoring,acceptance-criteria-reviewer,Worker,Validator,test,sonnet,"Validates acceptance criteria are testable, complete, and unambiguous."
Spec Authoring,openapi-contract-reviewer,Worker,Validator,test,sonnet,Validates API specifications match the architecture decisions and established contract patterns.
Spec Authoring,event-schema-reviewer,Worker,Validator,test,sonnet,Validates event schemas conform to the event API envelope format.
Spec Authoring,dynamodb-schema-access-pattern-reviewer,Worker,Validator,test,sonnet,Validates the specified access patterns are implementable and performant.
Spec Authoring,graphql-schema-reviewer,Worker,Validator,test,sonnet,Validates GraphQL schemas match the architecture decisions and AppSync contract patterns.
Spec Authoring,spec-decider,Worker,Decider,approve,opus,"Receives competing spec approaches, maker-checker deadlocks, and checker conflict reports routed by spec-authoring-lead"
Task Decomposition,task-decomposition-lead,Manager,"Delegator, Orchestrator",orchestrate,sonnet,"Routes the decomposition pipeline: decompose, size, map, sequence, score, validate"
Task Decomposition,task-decomposer,Worker,Executor,execute,sonnet,"Breaks the spec into tasks: one chassis extension, one endpoint, or one event handler per task."
Task Decomposition,task-dependency-mapper,Worker,Executor,execute,sonnet,Identifies inter-task dependencies
Task Decomposition,wsjf-scorer,Worker,Executor,execute,sonnet,Scores each task: (value + time criticality + risk reduction) divided by size.
Task Decomposition,wsjf-scoring-reviewer,Worker,Validator,test,sonnet,Validates WSJF scores are consistent and defensible.
Task Decomposition,user-story-writer,Worker,Executor,execute,sonnet,Writes user stories per task with acceptance criteria drawn from the spec.
Task Decomposition,user-story-reviewer,Worker,Validator,test,sonnet,"Validates stories are complete, testable, and properly scoped."
Task Decomposition,beads-format-validator,Worker,Validator,test,haiku,"Validates Beads issue format: title, acceptance criteria, DoD, WSJF score, dependencies, spec link."
Spec Freshness,spec-freshness-lead,Manager,"Delegator, Orchestrator",orchestrate,sonnet,Routes freshness checks to the validators and aggregates results for the gate.
Spec Freshness,spec-currency-validator,Worker,Validator,test,sonnet,Validates the spec still matches current project reality before implementation begins.
Spec Freshness,dependency-change-detector,Worker,Validator,test,sonnet,Detects dependency version or contract changes since the spec was written.
Spec Freshness,adr-currency-checker,Worker,Validator,test,sonnet,Checks that the ADRs the spec relies on are still current and unsuperseded.
Test Design,test-design-lead,Manager,"Delegator, Orchestrator",orchestrate,sonnet,"Routes spec acceptance criteria to the right test writers, confirms Red (all new tests fail), and reports to Gate 2a."
Test Design,tdd-unit-test-generator,Worker,Executor (test author),test,sonnet,Writes failing unit tests from spec acceptance criteria before implementation exists.
Test Design,consumer-driven-contract-test-writer,Worker,Executor (test author),test,sonnet,Writes consumer-driven contract tests ensuring API consumers and providers agree.
Test Design,security-test-case-designer,Worker,Executor (test author),test,sonnet,"Designs security test cases from the threat model: abuse cases, negative paths, authorization matrices."
Test Design,aws-integration-test-writer,Worker,Executor (test author),test,sonnet,Writes integration tests against AWS infrastructure covering the event API to EventBridge to SQS to Lambda chain.
Test Design,playwright-e2e-web-test-writer,Worker,Executor (test author),test,sonnet,Writes Playwright end-to-end web tests for UI and API flows.
Test Design,performance-benchmark-writer,Worker,Executor (test author),test,sonnet,Writes performance benchmarks with explicit budgets derived from the NFRs.
Test Design,test-plan-strategy-reviewer,Worker,Validator,test,sonnet,"Reviews the test plan strategy: pyramid balance, risk coverage, environment needs."
Test Design,test-coverage-gap-reviewer,Worker,Validator,test,sonnet,Reviews planned tests against spec acceptance criteria and flags coverage gaps.
Test Design,xcuitest-writer,Worker,Executor (test author),test,sonnet,Writes failing XCUITest suites for iOS features from spec acceptance criteria.
Test Design,espresso-test-writer,Worker,Executor (test author),test,sonnet,Writes failing Espresso test suites for Android features from spec acceptance criteria.
Test Design,mobile-e2e-test-writer,Worker,Executor (test author),test,sonnet,Writes failing Detox and Maestro end-to-end tests for React Native and cross-platform mobile flows.
Test Design,ml-evaluation-tester,Worker,Executor (test author),test,sonnet,"Writes and runs evaluation suites for ML components: matching quality, recommendation relevance, embedding drift, regression thresholds."
Test Design,data-pipeline-test-writer,Worker,Executor (test author),test,sonnet,"Writes failing tests for data pipelines: ETL correctness, CDC ordering, data quality assertions, replay safety."
Test Design,test-isolation-specialist,Worker,Validator,test,sonnet,"Validates test independence: no shared mutable state, order-independent execution, isolated fixtures"
Test Design,test-strategy-decider,Worker,Decider,approve,opus,Receives test strategy analyses and reviewer findings routed by test-design-lead
Implementation,implementation-lead,Manager,"Delegator, Orchestrator",orchestrate,sonnet,"Routes Beads tasks to the implementer sub-teams the feature requires, enforces hard constraints before any file is written, and reports to Gate 2b."
Implementation,chassis-extension-implementer,Worker,Executor,execute,sonnet,Implements Lambda handlers as chassis superclass extensions for API endpoints and event consumers.
Implementation,api-gateway-cdk-implementer,Worker,Executor,execute,sonnet,"Implements API Gateway resources, methods, and authorizers in CDK Python."
Implementation,event-api-client-implementer,Worker,Executor,execute,sonnet,Implements clients that publish through the central event API endpoint using the standardized envelope
Implementation,dynamodb-access-layer-implementer,Worker,Executor,execute,sonnet,"Implements DynamoDB access patterns from the data model specification: single-table patterns, GSI queries, conditional writes."
Implementation,event-driven-consumer-implementer,Worker,Executor,execute,sonnet,Implements event consumers that receive from SQS via the EventBridge-rule-to-SQS-to-Lambda chain
Implementation,power-tools-configuration-implementer,Worker,Executor,execute,sonnet,"Configures Lambda Power Tools: structured logging, tracing, metrics, idempotency, validation"
Implementation,cognito-lambda-trigger-implementer,Worker,Executor,execute,sonnet,Implements Cognito Lambda triggers for authentication flows.
Implementation,nextjs-component-implementer,Worker,Executor,execute,sonnet,Implements React/Next.js components for web UI features.
Implementation,appsync-client-subscription-implementer,Worker,Executor,execute,sonnet,Implements AppSync client subscriptions for real-time web features.
Implementation,matching-algorithm-implementer,Worker,Executor,execute,sonnet,Implements matching and recommendation algorithm components for ML features.
Implementation,vector-search-embeddings-implementer,Worker,Executor,execute,sonnet,Implements vector search and embeddings components for ML features.
Implementation,ios-swiftui-implementer,Worker,Executor,execute,sonnet,"Implements iOS features in SwiftUI — including StoreKit, CoreML, and WebAuthn integration — to make failing XCUITest suites pass."
Implementation,android-compose-implementer,Worker,Executor,execute,sonnet,Implements Android features in Kotlin and Jetpack Compose — including ML Kit integration — to make failing Espresso suites pass.
Implementation,react-native-implementer,Worker,Executor,execute,sonnet,Implements React Native features for cross-platform mobile flows to make failing Detox and Maestro tests pass.
Implementation,recommendation-engine-implementer,Worker,Executor,execute,sonnet,Implements recommendation engine components for ML features.
Implementation,bedrock-integration-implementer,Worker,Executor,execute,sonnet,"Implements Bedrock foundation-model integrations: model invocation, prompt assembly, embeddings generation."
Implementation,behavioral-signals-implementer,Worker,Executor,execute,sonnet,Implements behavioral signal capture and the feature pipelines that feed matching and recommendation models.
Implementation,llm-observability-implementer,Worker,Executor,execute,sonnet,"Implements LLM observability: prompt and response logging, token and cost metrics, quality signals, drift alerts."
Implementation,glue-etl-implementer,Worker,Executor,execute,sonnet,Implements Glue ETL jobs for batch data processing.
Implementation,kinesis-stream-implementer,Worker,Executor,execute,sonnet,Implements Kinesis stream producers and consumers for streaming data.
Implementation,dynamodb-streams-cdc-implementer,Worker,Executor,execute,sonnet,Implements change data capture from DynamoDB Streams.
Implementation,s3-data-lake-implementer,Worker,Executor,execute,sonnet,"Implements S3 data lake layout, partitioning, and lifecycle policies."
Implementation,athena-redshift-analytics-implementer,Worker,Executor,execute,sonnet,Implements Athena queries and Redshift analytics models over the data lake.
Implementation,webauthn-implementer,Worker,Executor,execute,sonnet,Implements WebAuthn passkey flows across web clients and the Cognito-backed auth stack.
Implementation,appsync-cdk-implementer,Worker,Executor,execute,sonnet,"Implements AppSync GraphQL APIs in CDK Python: schema wiring, resolvers, data sources, authorization."
Implementation,payments-integration-implementer,Worker,Executor,execute,sonnet,"Implements payment features against Stripe: checkout sessions, webhook handlers, subscription lifecycle, refunds, and idempotent payment operations"
Implementation,email-notification-implementer,Worker,Executor,execute,sonnet,"Implements transactional and notification email features: responsive email templates, rendering pipelines, delivery via AWS messaging services, bounce and complaint handling."
Implementation,mcp-server-implementer,Worker,Executor,execute,sonnet,"Implements MCP servers hosted on AWS, including AgentCore Gateway-fronted deployments: tool definitions and schemas, authorization, transport configuration, and the CDK wiring to deploy them."
Code Quality,code-quality-lead,Manager,"Delegator, Orchestrator",orchestrate,sonnet,"Routes refactor work, verifies tests stay green after every change, and reports to Gate 2c."
Code Quality,complexity-analyzer,Worker,Advisor,plan,sonnet,Analyzes complexity and duplication
Code Quality,code-refactoring-specialist,Worker,Executor,execute,sonnet,Restructures existing code for clarity and cohesion without changing behavior.
Code Quality,lambda-performance-optimizer,Worker,Executor,execute,sonnet,"Optimizes Lambda cold start, memory sizing, and hot paths without breaking tests."
Code Quality,dynamodb-cost-optimizer,Worker,Executor,execute,sonnet,"Optimizes DynamoDB capacity, access patterns, and cost without changing behavior."
Code Quality,code-style-and-linting-enforcer,Worker,Executor,execute,sonnet,Runs the project linters and applies formatting and style fixes.
Code Quality,code-correctness-reviewer,Worker,Validator,test,sonnet,Reviews refactored code for correctness regressions and behavioral drift.
Code Quality,frontend-performance-optimizer,Worker,Executor,execute,sonnet,"Optimizes frontend performance without breaking tests: bundle size, rendering paths, Core Web Vitals."
Code Quality,accessibility-validator,Worker,Validator,test,sonnet,"Validates UI changes against WCAG 2.2 Level A and AA: automated scans plus heuristics for contrast, keyboard navigation, ARIA semantics, focus management, and screen-reader flows"
Integration Testing,integration-testing-lead,Manager,"Delegator, Orchestrator",orchestrate,sonnet,"Routes test runs, aggregates results, reports to Gate 3, and routes escalations to the target the Root Cause Analyst identifies."
Integration Testing,aws-integration-test-runner,Worker,Validator,test,sonnet,Runs the AWS integration test suites and reports structured results.
Integration Testing,event-flow-tester,Worker,Validator,test,sonnet,Tests event flows end-to-end through the event API to EventBridge to SQS to Lambda chain.
Integration Testing,data-consistency-checker,Worker,Validator,test,sonnet,Verifies data consistency across services and stores after test runs.
Integration Testing,cross-service-contract-tester,Worker,Validator,test,sonnet,Runs contract tests across service and repository boundaries.
Integration Testing,test-environment-orchestrator,Worker,Executor,execute,sonnet,Provisions and resets the integration test environments.
Integration Testing,root-cause-analyst,Worker,Advisor,plan,sonnet,"Determines whether a failure is code, test, environment, or architecture — and therefore which team the finding escalates to"
Integration Testing,flaky-test-detector,Worker,Validator,test,sonnet,Identifies intermittent test failures and their root causes
Integration Testing,cross-repo-integration-test-coordinator,Worker,Orchestrator,orchestrate,sonnet,"Coordinates integration testing across repository boundaries: sequences cross-repo test runs over the event chain, aligns environment state between repos, and routes results back to integration-testing-lead"
Adversarial Validation,adversarial-review-loop-supervisor,Manager,"Delegator, Orchestrator",orchestrate,sonnet,"Sequences the adversarial loop — testers attack, the Adjudicator rules, valid findings route back to implementation — until the Adjudicator passes or the loop limit triggers escalation."
Adversarial Validation,injection-attack-tester,Worker,Adversary,test,sonnet,"Probes the project's own endpoints for injection paths (SQL, NoSQL, command, template)"
Adversarial Validation,auth-bypass-tester,Worker,Adversary,test,sonnet,Attempts authentication bypass against the project's own auth flows in test environments
Adversarial Validation,permission-escalation-tester,Worker,Adversary,test,sonnet,Attempts privilege and permission escalation within the project's own IAM and authorization model
Adversarial Validation,race-condition-tester,Worker,Adversary,test,sonnet,Probes concurrent flows for race conditions and idempotency gaps
Adversarial Validation,contract-violation-tester,Worker,Adversary,test,sonnet,Sends contract-violating inputs across the project's own service boundaries
Adversarial Validation,dependency-cve-auditor,Worker,Validator,test,sonnet,Audits Python and Node dependencies for known CVEs and scores severity.
Adversarial Validation,dos-resilience-tester,Worker,Adversary,test,sonnet,Evaluates resilience to load and resource-exhaustion patterns within designated test environments only
Adversarial Validation,data-exposure-scanner,Worker,Validator,test,sonnet,"Scans the project's own responses, logs, and storage for unintended data exposure."
Adversarial Validation,infrastructure-security-scanner,Worker,Validator,test,sonnet,Scans IaC and deployed test infrastructure for security misconfigurations.
Adversarial Validation,adversarial-critique-adjudicator,Worker,Decider (Referee),approve,opus,Decides the severity of each adversarial finding and whether it is constitutive (hard stop) or competitive (plays advantage)
Deployment,deployment-lead,Manager,"Delegator, Orchestrator",orchestrate,sonnet,"Routes the deployment sequence, validates preconditions at each step, and reports to Gate 5."
Deployment,cdk-stack-author,Worker,Executor,execute,sonnet,Authors AWS CDK stacks in Python for the feature's infrastructure.
Deployment,github-actions-pipeline-implementer,Worker,Executor,execute,sonnet,"Implements GitHub Actions workflows: OIDC auth, caching, build, test, and deploy stages."
Deployment,wave-deployment-sequencer,Worker,Executor,execute,sonnet,Executes wave-based deployments in the approved cross-repo order with precondition checks per wave.
Deployment,cdk-infrastructure-drift-detector,Worker,Validator,test,sonnet,Detects drift between deployed infrastructure and the CDK stacks.
Deployment,slo-error-budget-designer,Worker,Advisor,plan,sonnet,Designs SLOs and error budgets for the deployed feature.
Deployment,smoke-test-author,Worker,Executor (test author),test,sonnet,Writes post-deployment smoke tests.
Deployment,production-readiness-review-facilitator,Worker,Orchestrator,orchestrate,sonnet,"Coordinates the production readiness review: collects required artifacts, routes them to reviewers, and assembles the readiness packet"
Deployment,finops-analyst,Worker,Advisor,plan,sonnet,"Analyzes the cost posture of the feature before deployment: unit economics, scaling cost curves, budget impact"
Deployment,incident-response-runbook-designer,Worker,Executor,execute,sonnet,"Produces operational runbooks for the deployed feature: incident response, rollback steps, disaster recovery."
Deployment,deployment-strategy-decider,Worker,Decider,approve,opus,"Receives deployment analyses — wave order options, rollout strategies, risk assessments, FinOps recommendations — routed by deployment-lead"
Documentation,documentation-lead,Manager,"Delegator, Orchestrator",orchestrate,sonnet,"Routes documentation work triggered by shipped changes, tracks which artifacts lack current documentation, and reports documentation currency to the production readiness review"
Documentation,api-documentation-writer,Worker,Executor,execute,sonnet,"Generates human-readable API documentation from OpenAPI and GraphQL specs: endpoint guides, examples, SDK snippets."
Documentation,readme-writer,Worker,Executor,execute,sonnet,"Writes and maintains README files for repositories and directories: setup instructions, usage, onboarding flows."
Documentation,changelog-writer,Worker,Executor,execute,sonnet,"Generates changelog entries from merged work: conventional commit parsing, semantic version notes."
Documentation,user-guide-writer,Worker,Executor,execute,sonnet,Writes user-facing feature documentation and guides from specs and shipped behavior.
Documentation,documentation-currency-auditor,Worker,Validator,test,sonnet,Audits that documentation was updated when code shipped
Documentation,documentation-accuracy-reviewer,Worker,Validator,test,sonnet,Reviews produced documentation against actual shipped behavior for accuracy and completeness.
